,reviewer_review,reviewer_avg,reviewer_review_cnt,reviewer_review_score,reviewer_review_date,reviewer_id,diner_idx
1,주차편리하고 맛있어요,5.0,1,5.0,2023.04.16.,"in_sun🌟
브론즈 배지
레벨
2",1715438824
2,재료 신선하고 패티가 진짜 두툼하고 맛있어요! 사장님이랑 직원 분 모두 넘 친절하십니다 또올게용!,5.0,11,5.0,2022.07.05.,"은선
브론즈 배지
레벨
7",1715438824
0,상가 가정집을 개조해서 만든 아늑한 식당입니다 야외테이블도 있어서 날 좋을땐 분위기 내기 좋아요,5.0,2,5.0,2024.01.23.,"ㆍMAREㆍ
브론즈 배지
레벨
2",2098944538
1,"가정집을 리모델링해서 분위기도 진짜 좋구 고기는 냄새 안나고 부드러워용. 진짜 맛있어요!!!👍👍👍
세트에 같이 선택할 수 있는 메뉴가 다 오일리한 메뉴라 쪼끔 물리는 느낌도 있는데 고기가 다 무마시켜줍니다.. 끝내줘요.

역이랑 거리가 좀 있는데 주차할 공간도 협소하단 점이 조금 아쉽지만 다 차치하고서도 또 오고 싶네요 😋
더보기",5.0,4,5.0,2023.08.05.,"먹
브론즈 배지
레벨
5",2098944538
2,"살치스테이크, 양갈비 완전 맛있음. 고기랑 숙주 등 넣고 버거 만들어 먹어도 좋은맛. 감성적인 루프탑은 가을에 오면 좋을듯.",4.3,86,5.0,2023.08.05.,"장민구
골드 배지
레벨
31",2098944538
0,여기 고기 맛있어요 원래 구운고기류를 다 별로 안좋아하는데 화통삼은 진짜 좋아해사 가족끼리도 자주감!! 직접 구워줘서 편한데 매장이 사람이 많아서 좀 시끄러운편,5.0,4,5.0,2024.02.02.,"ㄱㅇㅈ
브론즈 배지
레벨
3",26304050
1,많이파세료,2.9,54,5.0,2023.08.29.,"Tylor
실버 배지
레벨
23",26304050
2,,4.3,7,5.0,2023.05.22.,"구경모
브론즈 배지
레벨
3",26304050
8,낫 배드,4.5,2,4.0,2021.10.08.,"승진. D. Andrea
브론즈 배지
레벨
3",26304050
9,여기는 고퀄맛집인데 가성비도 좋고~ 주차도 편해서 좋아요~! 번창하세요,5.0,1,5.0,2021.09.04.,"Evelyn
브론즈 배지
레벨
3",26304050
